timestamp, cpu_usage, memory_usage

1745468176.2717922, 133.0, 84.0078125
1745468176.272287, 133.0, 84.0078125
1745468176.1433268, 465.4, 84.0
1745468176.3184147, 121.9, 84.01171875
1745468176.2375677, 162.5, 84.0078125
1745468176.318911, 121.9, 84.01171875
1745468176.274273, 145.1, 84.0078125
1745468176.214753, 162.5, 84.0078125
1745468176.313952, 121.9, 84.0078125
1745468176.217232, 306.8, 84.0078125
1745468176.2519522, 133.0, 84.0078125
1745468176.2331026, 155.1, 84.0078125
1745468176.2757614, 145.1, 84.0078125
1745468176.2554224, 133.0, 84.0078125
1745468176.2370703, 162.5, 84.0078125
1745468176.2623668, 150.0, 84.0078125
1745468176.289647, 140.2, 84.0078125
1745468176.2360802, 149.3, 84.0078125
1745468176.220704, 162.5, 84.0078125
1745468176.3164334, 129.4, 84.0078125
1745468176.261375, 160.3, 84.0078125
1745468176.265343, 150.0, 84.0078125
1745468176.2668324, 160.3, 84.0078125
1745468176.2519522, 150.2, 84.0078125
1745468176.1175373, 473.1, 83.99609375
1745468176.2365744, 162.5, 84.0078125
1745468176.181521, 310.3, 84.00390625
1745468176.094224, 565.2, 83.95703125
1745468176.214753, 155.1, 84.0078125
1745468176.215745, 155.1, 84.0078125
1745468176.2469907, 145.3, 84.0078125
1745468176.2975852, 125.0, 84.0078125
1745468176.274273, 145.1, 84.0078125
1745468176.2747672, 145.1, 84.0078125
1745468176.2683196, 150.0, 84.0078125
1745468176.2688155, 150.0, 84.0078125
1745468176.2703044, 150.0, 84.0078125
1745468176.2549272, 156.2, 84.0078125
1745468176.2772474, 145.1, 84.0078125
1745468176.1472945, 400.6, 84.0
1745468176.2990725, 129.0, 84.0078125
1745468176.2489765, 208.9, 84.0078125
1745468176.2569118, 133.0, 84.0078125
1745468176.1849926, 310.3, 84.00390625
1745468176.2559192, 133.0, 84.0078125
1745468176.3010547, 133.0, 84.0078125
1745468176.280223, 137.5, 84.0078125
1745468176.2013583, 172.0, 84.0078125
1745468176.286672, 134.4, 84.0078125
1745468176.2593908, 142.0, 84.0078125
1745468176.2807186, 137.5, 84.0078125
1745468176.1884649, 156.3, 84.00390625
1745468176.2350876, 162.5, 84.0078125
1745468176.3055193, 113.6, 84.0078125
1745468176.1527517, 412.5, 84.0
1745468176.3278387, 112.5, 84.1484375
1745468176.3040307, 116.4, 84.0078125
1745468176.2787356, 129.0, 84.0078125
1745468176.278239, 137.5, 84.0078125
1745468176.2504632, 137.5, 84.0078125
1745468176.300065, 125.0, 84.0078125
1745468176.279232, 137.5, 84.0078125
1745468176.279232, 137.5, 84.0078125
1745468176.286672, 134.4, 84.0078125
1745468176.198383, 172.0, 84.00390625
1745468176.3010547, 129.0, 84.0078125
1745468176.2628627, 160.3, 84.0078125
1745468176.241041, 149.6, 84.0078125
1745468176.2608788, 154.4, 84.0078125
1745468176.258399, 142.0, 84.0078125
1745468176.2559192, 133.0, 84.0078125
1745468176.1641624, 272.4, 84.0
1745468176.2345908, 162.5, 84.0078125
1745468176.2569118, 133.0, 84.0078125
1745468176.2097912, 184.8, 84.0078125
